,Zip,Part of Bo,Year,Counts,2010Pop,Per100k
0,1001,43,2018,1,16769,5.963384817222256
1,1001,4422,2017,1,16769,5.963384817222256
2,1001,4429,2015,1,16769,5.963384817222256
3,1001,4429,2016,1,16769,5.963384817222256
4,1001,510,2017,1,16769,5.963384817222256
5,1001,80,2017,1,16769,5.963384817222256
6,1001,899,2018,1,16769,5.963384817222256
7,1002,4429,2018,1,29049,3.442459292918861
8,1002,510,2018,1,29049,3.442459292918861
9,1002,5830,2017,1,29049,3.442459292918861
10,1002,9999,2017,2,29049,6.884918585837722
11,1003,320,2015,1,10372,9.641342074816814
12,1007,513,2018,1,14649,6.82640453273261
13,1010,512,2017,1,3609,27.70850651149903
14,1013,510,2017,1,23188,4.312575470070726
15,1013,511,2017,1,23188,4.312575470070726
16,1020,448,2016,1,29668,3.370635027639207
17,1022,9999,2016,1,2451,40.79967360261118
18,1027,420,2018,1,17660,5.662514156285391
19,1027,513,2017,1,17660,5.662514156285391
20,1028,420,2016,1,15720,6.361323155216285
21,1028,4422,2015,1,15720,6.361323155216285
22,1028,4422,2018,1,15720,6.361323155216285
23,1028,511,2018,1,15720,6.361323155216285
24,1028,512,2016,1,15720,6.361323155216285
25,1028,899,2017,1,15720,6.361323155216285
26,1030,513,2017,1,11669,8.56971462850287
27,1035,322,2017,1,5250,19.047619047619047
28,1035,341,2017,1,5250,19.047619047619047
29,1035,4422,2018,1,5250,19.047619047619047
30,1035,4429,2016,1,5250,19.047619047619047
31,1035,5839,2017,1,5250,19.047619047619047
32,1036,482,2016,1,5109,19.573302016050107
33,1038,440,2017,1,2545,39.29273084479371
34,1038,4429,2016,1,2545,39.29273084479371
35,1038,513,2016,1,2545,39.29273084479371
36,1038,52,2016,1,2545,39.29273084479371
37,1038,9999,2018,1,2545,39.29273084479371
38,1040,421,2016,1,39880,2.507522567703109
39,1040,423,2016,1,39880,2.507522567703109
40,1040,4420,2017,1,39880,2.507522567703109
41,1040,4422,2016,1,39880,2.507522567703109
