,Zip,Nature,Year,Counts,2010Pop,Per100k
0,1001,111,2017,1,16769,5.963384817222256
1,1001,1311,2015,1,16769,5.963384817222256
2,1001,1311,2016,1,16769,5.963384817222256
3,1001,1311,2017,1,16769,5.963384817222256
4,1001,132,2018,1,16769,5.963384817222256
5,1001,1523,2017,1,16769,5.963384817222256
6,1001,1972,2018,1,16769,5.963384817222256
7,1002,10,2017,1,29049,3.442459292918861
8,1002,111,2018,1,29049,3.442459292918861
9,1002,1530,2017,1,29049,3.442459292918861
10,1002,1834,2017,1,29049,3.442459292918861
11,1002,1971,2018,1,29049,3.442459292918861
12,1003,111,2015,1,10372,9.641342074816814
13,1007,111,2018,1,14649,6.82640453273261
14,1010,1232,2017,1,3609,27.70850651149903
15,1013,111,2017,2,23188,8.625150940141452
16,1020,1532,2016,1,29668,3.370635027639207
17,1022,1520,2016,1,2451,40.79967360261118
18,1027,111,2017,1,17660,5.662514156285391
19,1027,132,2018,1,17660,5.662514156285391
20,1028,111,2018,1,15720,6.361323155216285
21,1028,1311,2015,1,15720,6.361323155216285
22,1028,1311,2018,1,15720,6.361323155216285
23,1028,132,2017,1,15720,6.361323155216285
24,1028,1972,2016,2,15720,12.72264631043257
25,1030,111,2017,1,11669,8.56971462850287
26,1035,111,2017,2,5250,38.095238095238095
27,1035,1311,2016,1,5250,19.047619047619047
28,1035,1311,2018,1,5250,19.047619047619047
29,1035,1839,2017,1,5250,19.047619047619047
30,1036,1520,2016,1,5109,19.573302016050107
31,1038,111,2016,1,2545,39.29273084479371
32,1038,111,2018,1,2545,39.29273084479371
33,1038,1238,2016,1,2545,39.29273084479371
34,1038,1311,2016,1,2545,39.29273084479371
35,1038,132,2017,1,2545,39.29273084479371
36,1040,111,2016,1,39880,2.507522567703109
37,1040,1311,2016,3,39880,7.5225677031093285
38,1040,1311,2017,1,39880,2.507522567703109
39,1040,1311,2018,2,39880,5.015045135406218
40,1040,132,2016,1,39880,2.507522567703109
41,1056,111,2017,1,21103,4.738662749372128
42,1056,111,2018,1,21103,4.738662749372128
43,1056,1131,2016,1,21103,4.738662749372128
44,1056,1311,2017,1,21103,4.738662749372128
45,1057,111,2018,1,8534,11.717834544176236
46,1060,111,2016,1,15284,6.542789845590159
47,1060,1834,2016,1,15284,6.542789845590159
48,1063,161,2017,1,430,232.5581395348837
49,1069,111,2017,1,8469,11.807769512339119
50,1069,1311,2018,1,8469,11.807769512339119
51,1069,132,2017,1,8469,11.807769512339119
52,1069,1522,2015,1,8469,11.807769512339119
53,1071,180,2016,1,1596,62.65664160401002
54,1075,111,2017,1,17527,5.705482969133337
55,1075,1311,2016,1,17527,5.705482969133337
56,1077,111,2016,1,9502,10.524100189433803
57,1082,1311,2017,1,10322,9.688044952528578
58,1082,138,2016,1,10322,9.688044952528578
59,1082,1530,2016,1,10322,9.688044952528578
60,1085,10,2018,1,41117,2.432084052824866
61,1085,111,2016,1,41117,2.432084052824866
62,1085,111,2017,3,41117,7.296252158474597
63,1085,1311,2018,1,41117,2.432084052824866
64,1085,132,2018,1,41117,2.432084052824866
65,1085,1510,2016,1,41117,2.432084052824866
66,1085,1510,2018,1,41117,2.432084052824866
67,1085,1972,2016,1,41117,2.432084052824866
68,1089,10,2015,1,28391,3.522242964319679
69,1089,111,2016,1,28391,3.522242964319679
70,1089,111,2018,1,28391,3.522242964319679
71,1089,132,2016,1,28391,3.522242964319679
72,1089,1729,2015,1,28391,3.522242964319679
73,1095,1311,2015,1,14319,6.983727913960472
74,1095,1834,2017,1,14319,6.983727913960472
75,1103,111,2018,1,2479,40.338846308995564
76,1103,132,2016,1,2479,40.338846308995564
77,1103,1831,2018,1,2479,40.338846308995564
78,1103,194,2016,1,2479,40.338846308995564
79,1104,1311,2017,1,22865,4.373496610540127
