,classif,cap_shape,cap_surface,cap_colour,bruises,odor,gill_attach,gill_space,gill_size,gill_color,stalk_shape,stalk_surf_above_ring,stalk_surf_below_ring,stalk_color_above_ring,stalk_color_below_ring,veil_type,veil_color,ring_number,ring_type,spore_print_color,population,habitat
0,Poisonous,x,s,Brown,Bruises,Pungent,f,Close,Narrow,Black,e,Smooth,s,White,White,p,w,o,Pendant,Black,Scattered,Urban
1,Etable,x,s,Yellow,Bruises,Almond,f,Close,Broad,Black,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Numerous,Grasses
2,Etable,b,s,White,Bruises,Anise,f,Close,Broad,Brown,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Numerous,Meadows
3,Poisonous,x,y,White,Bruises,Pungent,f,Close,Narrow,Brown,e,Smooth,s,White,White,p,w,o,Pendant,Black,Scattered,Urban
4,Etable,x,s,Gray,No,None,f,Crowded,Broad,Black,t,Smooth,s,White,White,p,w,o,Evanescent,Brown,Abundant,Grasses
5,Etable,x,y,Yellow,Bruises,Almond,f,Close,Broad,Brown,e,Smooth,s,White,White,p,w,o,Pendant,Black,Numerous,Grasses
6,Etable,b,s,White,Bruises,Almond,f,Close,Broad,Gray,e,Smooth,s,White,White,p,w,o,Pendant,Black,Numerous,Meadows
7,Etable,b,y,White,Bruises,Anise,f,Close,Broad,Brown,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Scattered,Meadows
8,Poisonous,x,y,White,Bruises,Pungent,f,Close,Narrow,Pink,e,Smooth,s,White,White,p,w,o,Pendant,Black,Several,Grasses
9,Etable,b,s,Yellow,Bruises,Almond,f,Close,Broad,Gray,e,Smooth,s,White,White,p,w,o,Pendant,Black,Scattered,Meadows
10,Etable,x,y,Yellow,Bruises,Anise,f,Close,Broad,Gray,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Numerous,Grasses
11,Etable,x,y,Yellow,Bruises,Almond,f,Close,Broad,Brown,e,Smooth,s,White,White,p,w,o,Pendant,Black,Scattered,Meadows
12,Etable,b,s,Yellow,Bruises,Almond,f,Close,Broad,White,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Scattered,Grasses
13,Poisonous,x,y,White,Bruises,Pungent,f,Close,Narrow,Black,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Several,Urban
14,Etable,x,f,Brown,No,None,f,Crowded,Broad,Brown,t,Smooth,f,White,White,p,w,o,Evanescent,Black,Abundant,Grasses
15,Etable,s,f,Gray,No,None,f,Close,Narrow,Black,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Solitary,Urban
16,Etable,f,f,White,No,None,f,Crowded,Broad,Black,t,Smooth,s,White,White,p,w,o,Evanescent,Brown,Abundant,Grasses
17,Poisonous,x,s,Brown,Bruises,Pungent,f,Close,Narrow,Brown,e,Smooth,s,White,White,p,w,o,Pendant,Black,Scattered,Grasses
18,Poisonous,x,y,White,Bruises,Pungent,f,Close,Narrow,Brown,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Scattered,Urban
19,Poisonous,x,s,Brown,Bruises,Pungent,f,Close,Narrow,Black,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Scattered,Urban
20,Etable,b,s,Yellow,Bruises,Almond,f,Close,Broad,Black,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Scattered,Meadows
21,Poisonous,x,y,Brown,Bruises,Pungent,f,Close,Narrow,Brown,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Several,Grasses
22,Etable,b,y,Yellow,Bruises,Anise,f,Close,Broad,Black,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Scattered,Meadows
23,Etable,b,y,White,Bruises,Almond,f,Close,Broad,White,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Numerous,Meadows
24,Etable,b,s,White,Bruises,Anise,f,Close,Broad,Gray,e,Smooth,s,White,White,p,w,o,Pendant,Black,Scattered,Meadows
25,Poisonous,f,s,White,Bruises,Pungent,f,Close,Narrow,Brown,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Several,Grasses
26,Etable,x,y,Yellow,Bruises,Almond,f,Close,Broad,Brown,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Numerous,Meadows
27,Etable,x,y,White,Bruises,Anise,f,Close,Broad,White,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Numerous,Meadows
28,Etable,f,f,Brown,No,None,f,Close,Narrow,Black,e,Smooth,s,White,White,p,w,o,Pendant,Black,Solitary,Urban
29,Etable,x,s,Yellow,Bruises,Almond,f,Crowded,Narrow,Brown,t,Smooth,s,White,White,p,w,o,Pendant,Brown,Several,Woods
30,Etable,b,s,Yellow,Bruises,Anise,f,Close,Broad,Gray,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Numerous,Meadows
31,Poisonous,x,y,White,Bruises,Pungent,f,Close,Narrow,Black,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Scattered,Urban
32,Etable,x,y,Yellow,Bruises,Anise,f,Close,Broad,Brown,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Numerous,Meadows
33,Etable,x,y,Brown,Bruises,Anise,f,Close,Broad,Pink,e,Smooth,y,White,White,p,w,o,Pendant,Brown,Solitary,Paths
34,Etable,b,y,Yellow,Bruises,Anise,f,Close,Broad,Brown,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Scattered,Meadows
35,Etable,x,f,Yellow,Bruises,Anise,f,Crowded,Narrow,White,t,Smooth,s,White,White,p,w,o,Pendant,Brown,Several,Woods
36,Etable,s,f,Gray,No,None,f,Close,Narrow,Black,e,Smooth,s,White,White,p,w,o,Pendant,Black,Several,Urban
37,Poisonous,x,y,Brown,Bruises,Pungent,f,Close,Narrow,White,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Scattered,Urban
38,Etable,x,f,Yellow,Bruises,Almond,f,Crowded,Narrow,Pink,t,Smooth,s,White,White,p,w,o,Pendant,Brown,Several,Woods
39,Etable,b,s,Yellow,Bruises,Anise,f,Close,Broad,Black,e,Smooth,s,White,White,p,w,o,Pendant,Black,Scattered,Meadows
40,Etable,b,y,Yellow,Bruises,Almond,f,Close,Broad,Brown,e,Smooth,s,White,White,p,w,o,Pendant,Brown,Scattered,Grasses
41,Etable,x,y,Yellow,Bruises,Anise,f,Close,Broad,Brown,e,Smooth,y,White,White,p,w,o,Pendant,Black,Solitary,Paths
