,classif,odor,habitat,cap_colour
0,Poisonous,Pungent,Urban,Brown
1,Etable,Almond,Grasses,Yellow
3,Poisonous,Pungent,Urban,White
4,Etable,None,Grasses,Gray
5,Etable,Almond,Grasses,Yellow
6,Etable,Almond,Meadows,White
7,Etable,Anise,Meadows,White
8,Poisonous,Pungent,Grasses,White
10,Etable,Anise,Grasses,Yellow
11,Etable,Almond,Meadows,Yellow
12,Etable,Almond,Grasses,Yellow
13,Poisonous,Pungent,Urban,White
15,Etable,None,Urban,Gray
17,Poisonous,Pungent,Grasses,Brown
20,Etable,Almond,Meadows,Yellow
21,Poisonous,Pungent,Grasses,Brown
22,Etable,Anise,Meadows,Yellow
23,Etable,Almond,Meadows,White
24,Etable,Anise,Meadows,White
25,Poisonous,Pungent,Grasses,White
26,Etable,Almond,Meadows,Yellow
28,Etable,None,Urban,Brown
30,Etable,Anise,Meadows,Yellow
31,Poisonous,Pungent,Urban,White
32,Etable,Anise,Meadows,Yellow
34,Etable,Anise,Meadows,Yellow
35,Etable,Anise,Woods,Yellow
36,Etable,None,Urban,Gray
37,Poisonous,Pungent,Urban,Brown
38,Etable,Almond,Woods,Yellow
40,Etable,Almond,Grasses,Yellow
41,Etable,Anise,Paths,Yellow
42,Etable,None,Urban,Brown
43,Poisonous,Pungent,Grasses,White
44,Etable,Almond,Meadows,Yellow
45,Etable,Almond,Grasses,White
46,Etable,Anise,Meadows,Yellow
47,Etable,Anise,Meadows,White
48,Etable,Anise,Paths,Yellow
49,Etable,Anise,Paths,Yellow
50,Etable,Almond,Grasses,Brown
51,Etable,Anise,Grasses,White
54,Poisonous,Pungent,Urban,White
55,Etable,Almond,Meadows,Yellow
56,Etable,None,Grasses,Gray
59,Etable,Almond,Paths,Brown
60,Etable,None,Urban,Gray
61,Etable,Almond,Meadows,Yellow
62,Etable,Anise,Meadows,Yellow
63,Etable,Anise,Meadows,Yellow
65,Etable,None,Grasses,Brown
66,Etable,Anise,Grasses,White
67,Etable,Almond,Grasses,Yellow
68,Etable,Almond,Grasses,Yellow
69,Etable,None,Urban,Gray
70,Etable,Anise,Woods,Yellow
71,Etable,Anise,Meadows,White
72,Etable,Anise,Woods,Yellow
73,Etable,Almond,Paths,Brown
74,Etable,Almond,Grasses,Yellow
75,Etable,Anise,Woods,Yellow
76,Etable,Anise,Woods,White
77,Etable,Anise,Paths,Brown
78,Poisonous,Pungent,Urban,Brown
80,Etable,None,Grasses,Brown
81,Poisonous,Pungent,Grasses,White
83,Etable,None,Grasses,Gray
84,Etable,Anise,Grasses,Yellow
85,Etable,None,Grasses,Brown
86,Etable,Almond,Grasses,White
87,Etable,Anise,Grasses,White
89,Etable,None,Urban,Brown
90,Etable,None,Urban,Brown
91,Etable,Anise,Grasses,White
92,Etable,Almond,Grasses,Yellow
93,Etable,Anise,Meadows,Yellow
94,Etable,None,Grasses,Brown
95,Etable,Almond,Grasses,White
96,Etable,Anise,Grasses,Brown
97,Etable,Almond,Grasses,Yellow
98,Etable,Almond,Grasses,White
99,Etable,Almond,Grasses,White
101,Etable,Anise,Grasses,Yellow
102,Etable,Anise,Grasses,Yellow
103,Etable,Almond,Paths,Yellow
104,Etable,Anise,Grasses,White
105,Etable,Almond,Meadows,Yellow
106,Etable,Almond,Grasses,Yellow
107,Etable,Anise,Meadows,White
108,Etable,Almond,Meadows,White
109,Etable,Almond,Meadows,Yellow
110,Etable,Anise,Grasses,Yellow
111,Etable,None,Urban,Gray
112,Etable,Almond,Woods,White
114,Poisonous,Pungent,Urban,White
115,Etable,Anise,Grasses,Yellow
116,Etable,None,Urban,Gray
117,Etable,Anise,Grasses,Yellow
118,Etable,Anise,Woods,Yellow
119,Etable,None,Urban,Brown
122,Poisonous,Pungent,Grasses,Brown
126,Etable,Almond,Grasses,Yellow
127,Etable,None,Grasses,Gray
128,Etable,Anise,Grasses,White
129,Etable,Anise,Meadows,White
130,Etable,Anise,Grasses,White
131,Etable,Anise,Meadows,White
132,Etable,Anise,Woods,White
133,Etable,Anise,Meadows,Yellow
134,Etable,Almond,Woods,White
135,Poisonous,Pungent,Urban,White
136,Etable,Anise,Woods,White
137,Etable,Almond,Grasses,Yellow
139,Etable,Anise,Grasses,Yellow
141,Etable,Anise,Meadows,Yellow
142,Etable,None,Urban,Brown
143,Etable,Almond,Paths,Brown
144,Etable,Almond,Grasses,Yellow
145,Etable,None,Grasses,Gray
146,Etable,None,Grasses,White
147,Etable,Anise,Meadows,Yellow
149,Etable,Almond,Meadows,White
150,Etable,Almond,Grasses,White
152,Etable,Anise,Grasses,White
153,Etable,None,Urban,Brown
155,Etable,Anise,Grasses,Brown
156,Etable,Almond,Grasses,Yellow
157,Etable,Almond,Grasses,White
158,Etable,Almond,Meadows,White
159,Etable,Almond,Grasses,Yellow
161,Etable,Almond,Grasses,Yellow
163,Etable,Anise,Grasses,Brown
165,Etable,Anise,Paths,Yellow
168,Etable,Anise,Grasses,Brown
169,Etable,Almond,Grasses,White
171,Etable,Anise,Grasses,Yellow
172,Etable,Anise,Woods,Yellow
173,Etable,Almond,Grasses,Yellow
174,Etable,Anise,Grasses,Yellow
175,Etable,Anise,Meadows,White
176,Etable,Almond,Meadows,White
177,Etable,Almond,Grasses,Yellow
179,Etable,Anise,Grasses,Yellow
180,Poisonous,Pungent,Urban,White
181,Etable,None,Urban,Brown
182,Etable,None,Urban,Brown
183,Etable,Almond,Meadows,Yellow
184,Etable,Almond,Paths,Brown
185,Poisonous,Pungent,Grasses,White
186,Etable,Anise,Meadows,White
188,Etable,Anise,Grasses,Yellow
189,Etable,Almond,Paths,Brown
190,Etable,None,Grasses,White
191,Etable,Anise,Woods,White
192,Etable,Anise,Meadows,White
193,Etable,Almond,Woods,Yellow
194,Etable,Almond,Meadows,Yellow
195,Etable,None,Urban,Gray
197,Etable,Anise,Meadows,White
198,Etable,Anise,Meadows,White
199,Etable,Almond,Woods,White
200,Etable,Anise,Grasses,Yellow
201,Etable,Anise,Grasses,White
202,Etable,Almond,Grasses,White
203,Etable,None,Grasses,White
204,Etable,Anise,Paths,Brown
205,Poisonous,Pungent,Urban,White
206,Etable,Almond,Grasses,White
207,Etable,Almond,Meadows,White
208,Etable,Anise,Grasses,White
209,Etable,Almond,Grasses,White
210,Etable,Almond,Grasses,Yellow
211,Etable,Anise,Meadows,White
212,Etable,Almond,Woods,Yellow
213,Etable,None,Urban,Gray
214,Etable,Almond,Grasses,Yellow
215,Etable,Anise,Meadows,White
216,Etable,Almond,Grasses,Yellow
217,Etable,Almond,Grasses,Yellow
218,Etable,Anise,Grasses,White
219,Etable,None,Urban,Gray
