,having_IP_Address,URL_Length,Shortining_Service,having_At_Symbol,double_slash_redirecting,Prefix_Suffix,having_Sub_Domain,SSLfinal_State,Domain_registeration_length,Favicon,port,HTTPS_token,Request_URL,URL_of_Anchor,Links_in_tags,SFH,Submitting_to_email,Abnormal_URL,Redirect,on_mouseover,RightClick,popUpWidnow,Iframe,age_of_domain,DNSRecord,web_traffic,Page_Rank,Google_Index,Links_pointing_to_page,Statistical_report,Result
0,phishing,suspicious,legitimate,legitimate,phishing,phishing,legitimate,legitimate,phishing,legitimate,legitimate,phishing,legitimate,legitimate,suspicious,legitimate,phishing,phishing,phishing,legitimate,legitimate,legitimate,legitimate,phishing,phishing,legitimate,phishing,legitimate,suspicious,phishing,phishing
1,legitimate,suspicious,legitimate,legitimate,legitimate,phishing,phishing,suspicious,phishing,legitimate,legitimate,phishing,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,phishing,phishing,phishing,legitimate,suspicious,legitimate,phishing
2,legitimate,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,phishing,legitimate,legitimate,phishing,legitimate,phishing,legitimate,legitimate,phishing,phishing,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,phishing,legitimate,phishing,phishing,phishing
3,legitimate,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,phishing,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,phishing,suspicious,phishing,legitimate,legitimate,legitimate,phishing
4,legitimate,phishing,phishing,legitimate,legitimate,phishing,suspicious,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,phishing,phishing,legitimate,legitimate,legitimate,phishing,phishing,legitimate,phishing,legitimate,phishing,phishing,phishing,phishing,legitimate,suspicious,legitimate,legitimate
5,phishing,phishing,phishing,legitimate,phishing,phishing,suspicious,suspicious,phishing,legitimate,legitimate,phishing,legitimate,phishing,phishing,legitimate,phishing,phishing,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,suspicious,phishing,legitimate,legitimate,phishing,legitimate
6,legitimate,phishing,phishing,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,phishing,legitimate,phishing,phishing,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,phishing,legitimate,phishing,phishing,phishing
7,legitimate,phishing,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,phishing,phishing,phishing,phishing,legitimate,phishing,legitimate,phishing
8,legitimate,phishing,phishing,legitimate,legitimate,phishing,suspicious,suspicious,phishing,legitimate,legitimate,phishing,legitimate,phishing,suspicious,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,legitimate,legitimate,phishing,legitimate,legitimate
9,legitimate,suspicious,phishing,legitimate,legitimate,phishing,legitimate,suspicious,phishing,legitimate,legitimate,legitimate,legitimate,phishing,suspicious,legitimate,legitimate,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,phishing,legitimate,phishing,legitimate,phishing
10,legitimate,suspicious,legitimate,legitimate,legitimate,phishing,phishing,suspicious,legitimate,legitimate,legitimate,legitimate,phishing,phishing,phishing,legitimate,phishing,phishing,phishing,legitimate,legitimate,legitimate,legitimate,phishing,legitimate,suspicious,legitimate,legitimate,legitimate,phishing,legitimate
11,legitimate,suspicious,phishing,legitimate,legitimate,phishing,suspicious,legitimate,phishing,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,legitimate,phishing,phishing,phishing,legitimate,legitimate,legitimate,legitimate,phishing,phishing,legitimate,phishing,legitimate,phishing,phishing,phishing
