,Zip,Counts
0,00934,1
1,01001,1
2,01020,1
3,01022,1
4,01028,2
5,01035,1
6,01036,1
7,01038,3
8,01040,5
9,01056,1
10,01060,2
11,01071,1
12,01075,1
13,01077,1
14,01082,2
15,01085,3
16,01089,2
17,01103,2
18,01104,4
19,01106,1
20,01144,1
21,01151,2
22,01199,2
23,01201,3
24,01222,1
25,01230,1
26,01237,1
27,01238,1
28,01247,1
29,01257,1
30,01331,3
31,01339,2
32,01342,1
33,01373,1
34,01420,3
35,01432,1
36,01453,5
37,01501,2
38,01510,1
39,01519,1
40,01527,2
41,01532,1
42,01536,1
43,01545,2
44,01569,2
45,01570,1
46,01581,3
47,01590,2
48,01603,2
49,01605,1
50,01606,1
51,01608,1
52,01720,1
53,01721,1
54,01730,2
55,01742,1
56,01752,1
57,01757,3
58,01760,2
59,01773,1
60,01801,2
61,01810,3
62,01821,2
63,01826,1
64,01833,1
65,01840,1
66,01841,1
67,01843,1
68,01845,1
69,01852,2
70,01854,1
71,01886,1
72,01887,1
73,01890,1
74,01901,2
75,01902,2
76,01904,1
77,01905,1
78,01910,2
79,01913,1
80,01922,1
81,01930,2
82,01944,1
83,01950,2
84,01960,1
85,02019,1
86,02021,1
87,02026,2
88,02035,4
89,02038,2
90,02048,1
91,02052,1
92,02062,1
93,02072,1
94,02090,1
95,02093,1
96,02109,1
97,02113,1
98,02114,1
99,02115,7
100,02116,2
101,02118,1
102,02119,1
103,02120,1
104,02122,1
105,02125,1
106,02128,3
107,02131,1
108,02134,1
109,02135,2
110,02138,1
111,02139,1
112,02142,1
113,02145,1
114,02151,2
115,02153,1
116,02169,2
117,02170,1
118,02184,1
119,02188,1
120,02190,2
121,02210,2
122,02215,4
123,02333,1
124,02339,2
125,02343,1
126,02346,1
127,02360,4
128,02368,1
129,02379,1
130,02382,1
131,02420,1
132,02445,1
133,02451,1
134,02462,1
135,02472,2
136,02481,1
137,02492,1
138,02536,1
139,02540,1
140,02576,2
141,02649,1
142,02653,1
143,02660,1
144,02670,1
145,02703,3
146,02714,1
147,02717,2
148,02719,1
149,02720,4
150,02721,1
151,02744,1
152,02745,1
153,02766,1
154,02780,1
155,02790,1
156,02816,1
157,02817,1
158,02840,1
159,02852,2
160,02864,1
161,02865,2
162,02871,1
163,02886,4
164,02892,2
165,02895,1
166,02903,2
167,02904,2
168,02907,1
169,02908,2
170,02909,2
171,02912,1
172,02914,1
173,02916,2
174,02917,1
175,02919,3
176,02920,1
177,03051,1
178,03053,2
179,03055,1
180,03060,1
181,03077,1
182,03079,1
183,03101,1
184,03103,1
185,03109,2
186,03110,3
187,03217,1
188,03229,1
189,03235,2
190,03242,1
191,03246,2
192,03264,1
193,03266,1
194,03282,1
195,03301,2
196,03304,1
197,03465,1
198,03561,1
199,03574,1
200,03743,3
201,03755,1
202,03781,1
203,03801,1
204,03803,1
205,03820,1
206,03833,1
207,03840,1
208,03849,1
209,03851,1
210,03856,1
211,03865,1
212,03870,2
213,03885,1
214,03886,1
215,03903,1
216,03904,6
217,03906,1
218,04002,1
219,04009,2
220,04011,2
221,04015,1
222,04037,1
223,04038,1
224,04039,1
225,04043,1
226,04055,1
227,04062,1
228,04064,2
229,04071,2
230,04073,4
231,04090,1
232,04092,1
233,04096,1
234,04097,1
235,04101,1
236,04102,1
237,04103,1
238,04106,3
239,04110,1
240,04210,2
241,04211,2
242,04234,1
243,04240,2
244,04256,1
245,04261,1
246,04330,2
247,04345,1
248,04348,2
249,04351,1
250,04401,2
251,04412,1
252,04426,1
253,04443,1
254,04462,1
255,04472,1
256,04479,1
257,04530,1
258,04543,1
259,04609,1
260,04631,1
261,04694,2
262,04732,1
263,04736,1
264,04740,1
265,04742,1
266,04769,1
267,04783,1
268,04841,1
269,04944,1
270,05403,1
271,06010,3
272,06018,1
273,06019,1
274,06032,1
275,06033,1
276,06037,1
277,06051,1
278,06053,2
279,06067,1
280,06070,1
281,06074,1
282,06076,1
283,06082,2
284,06088,2
285,06092,1
286,06095,2
287,06096,1
288,06106,1
289,06108,4
290,06111,2
291,06114,1
292,06237,1
293,06241,3
294,06260,1
295,06320,1
296,06334,1
297,06340,1
298,06355,1
299,06360,2
300,06405,1
301,06415,1
302,06437,1
303,06443,1
304,06450,3
305,06451,1
306,06457,1
307,06460,1
308,06470,1
309,06473,4
310,06477,1
311,06483,1
312,06489,2
313,06492,3
314,06511,1
315,06512,4
316,06513,1
317,06516,4
318,06517,1
319,06601,1
320,06605,1
321,06606,1
322,06610,1
323,06615,2
324,06705,1
325,06708,1
326,06790,3
327,06795,1
328,06810,1
329,06811,1
330,06830,1
331,06853,1
332,06878,1
333,06883,1
334,06901,1
335,06902,1
336,06904,1
337,06905,1
338,06907,1
339,07001,1
340,07002,2
341,07004,2
342,07006,1
343,07012,3
344,07014,1
345,07016,1
346,07017,1
347,07026,1
348,07029,1
349,07033,2
350,07035,1
351,07036,1
352,07039,4
353,07040,1
354,07047,1
355,07050,1
356,07052,1
357,07054,1
358,07066,1
359,07068,1
360,07069,1
361,07071,3
362,07072,1
363,07073,4
364,07074,2
365,07080,8
366,07083,4
367,07094,1
368,07095,1
369,07104,1
370,07105,7
371,07114,4
372,07201,3
373,07202,1
374,07204,1
375,07205,1
376,07207,1
377,07302,3
378,07305,2
379,07410,1
380,07424,1
381,07456,1
382,07458,1
383,07470,1
384,07502,1
385,07506,1
386,07508,1
387,07513,1
388,07524,1
389,07601,2
390,07605,1
391,07632,1
392,07642,1
393,07644,1
394,07652,3
395,07657,1
396,07663,3
397,07718,1
398,07719,2
399,07724,2
400,07726,1
401,07728,3
402,07733,1
403,07737,1
404,07747,1
405,07748,1
406,07756,1
407,07762,1
408,07764,1
409,07827,1
410,07828,1
411,07836,2
412,07840,2
413,07860,1
414,07866,1
415,07876,1
416,07928,1
417,07936,1
418,07974,1
419,07977,2
420,07980,1
421,07981,1
422,08002,1
423,08003,1
424,08007,1
425,08014,1
426,08015,1
427,08016,1
428,08028,1
429,08030,2
430,08033,1
431,08048,1
432,08050,1
433,08051,1
434,08054,2
435,08055,1
436,08057,1
437,08059,1
438,08060,2
439,08066,1
440,08067,1
441,08070,1
442,08073,1
443,08075,2
444,08077,1
445,08080,1
446,08085,2
447,08096,1
448,08103,1
449,08104,3
450,08110,4
451,08201,1
452,08226,1
453,08234,5
454,08242,1
455,08302,1
456,08332,1
457,08360,7
458,08405,1
459,08512,4
460,08518,2
461,08605,1
462,08610,1
463,08618,1
464,08619,2
465,08628,1
466,08648,1
467,08701,3
468,08721,1
469,08724,1
470,08753,1
471,08817,2
472,08820,1
473,08832,1
474,08833,1
475,08837,1
476,08840,2
477,08852,1
478,08854,4
479,08855,2
480,08857,1
481,08865,1
482,08872,2
483,08873,2
484,08876,1
485,08879,1
486,08884,1
487,08888,2
488,08889,1
489,08901,3
490,08902,1
491,10001,7
492,10002,1
493,10004,2
494,10006,1
495,10007,4
496,10009,1
497,10010,2
498,10012,1
499,10013,5
500,10014,4
501,10016,3
502,10017,3
503,10019,3
504,10021,1
505,10022,3
506,10023,1
507,10024,1
508,10025,1
509,10026,1
510,10027,2
511,10032,1
512,10038,1
513,10039,2
514,10044,1
515,10065,2
516,10112,1
517,10301,1
518,10303,2
519,10305,1
520,10309,1
521,10451,3
522,10454,2
523,10457,2
524,10460,1
525,10461,2
526,10467,1
527,10469,1
528,10472,1
529,10474,3
530,10475,2
531,10504,1
532,10509,2
533,10511,1
534,10516,1
535,10523,1
536,10530,1
537,10532,1
538,10549,1
539,10566,1
540,10573,1
541,10591,2
542,10596,1
543,10598,1
544,10601,1
545,10604,1
546,10606,1
547,10705,1
548,10710,1
549,10801,2
550,10912,1
551,10918,2
552,10920,1
553,10941,1
554,10952,1
555,10954,1
556,10960,1
557,10994,1
558,10996,1
559,11003,3
560,11020,1
561,11030,2
562,11040,2
563,11050,2
564,11101,5
565,11102,1
566,11201,2
567,11206,2
568,11207,1
569,11208,1
570,11209,1
571,11210,1
572,11215,1
573,11217,3
574,11218,1
575,11220,1
576,11223,1
577,11225,2
578,11229,1
579,11230,1
580,11233,1
581,11236,1
582,11249,1
583,11351,1
584,11354,3
585,11361,1
586,11365,1
587,11367,1
588,11368,3
589,11369,2
590,11373,2
591,11377,1
592,11378,1
593,11418,3
594,11420,1
595,11421,1
596,11430,10
597,11433,1
598,11436,1
599,11530,1
600,11542,1
601,11545,1
602,11549,1
603,11561,1
604,11590,4
605,11701,1
606,11704,1
607,11705,1
608,11706,1
609,11716,2
610,11725,1
611,11731,1
612,11735,1
613,11742,2
614,11743,2
615,11746,1
616,11747,5
617,11756,1
618,11758,1
619,11767,1
620,11768,1
621,11769,1
622,11772,2
623,11787,1
624,11788,1
625,11793,2
626,11794,1
627,11795,2
628,11801,3
629,11901,1
630,11932,1
631,11933,1
632,11934,1
633,11944,2
634,11953,1
635,11980,1
636,12009,1
637,12010,1
638,12020,1
639,12043,1
640,12045,1
641,12065,1
642,12077,1
643,12078,1
644,12084,1
645,12110,4
646,12125,1
647,12138,1
648,12156,1
649,12173,1
650,12180,2
651,12184,1
652,12192,1
653,12205,2
654,12206,1
655,12207,1
656,12208,3
657,12302,2
658,12306,1
659,12308,2
660,12309,2
661,12401,1
662,12414,1
663,12442,1
664,12484,1
665,12496,1
666,12534,1
667,12542,1
668,12549,2
669,12550,1
670,12553,1
671,12564,2
672,12572,1
673,12575,1
674,12589,1
675,12594,1
676,12601,1
677,12603,2
678,12701,2
679,12721,1
680,12734,1
681,12746,1
682,12748,1
683,12771,1
684,12803,1
685,12804,2
686,12822,1
687,12828,1
688,12846,1
689,12901,2
690,12919,1
691,12920,1
692,13021,2
693,13029,1
694,13035,1
695,13037,1
696,13045,3
697,13057,1
698,13060,1
699,13069,1
700,13084,2
701,13090,1
702,13092,1
703,13104,1
704,13153,1
705,13164,1
706,13166,1
707,13202,2
708,13203,2
709,13204,1
710,13205,1
711,13206,2
712,13208,1
713,13209,1
714,13219,1
715,13224,1
716,13326,1
717,13329,1
718,13346,1
719,13350,2
720,13439,1
721,13440,1
722,13441,3
723,13459,1
724,13492,1
725,13502,1
726,13503,1
727,13605,1
728,13634,1
729,13642,1
730,13662,2
731,13669,1
732,13736,1
733,13748,1
734,13755,1
735,13760,3
736,13790,3
737,13820,3
738,13838,3
739,13904,1
740,14001,2
741,14013,1
742,14020,1
743,14047,1
744,14048,4
745,14059,2
746,14075,1
747,14080,1
748,14086,1
749,14092,1
750,14094,1
751,14103,1
752,14120,3
753,14125,1
754,14132,1
755,14139,1
756,14150,3
757,14171,1
758,14201,2
759,14202,1
760,14203,1
761,14206,4
762,14207,3
763,14214,1
764,14218,1
765,14219,2
766,14220,1
767,14224,2
768,14225,4
769,14226,1
770,14227,1
771,14240,1
772,14302,2
773,14304,2
774,14411,2
775,14420,1
776,14424,2
777,14432,1
778,14450,1
779,14456,2
780,14526,2
781,14551,1
782,14580,7
783,14586,1
784,14606,1
785,14608,1
786,14609,1
787,14613,1
788,14621,1
789,14623,4
790,14624,1
791,14625,1
792,14627,1
793,14642,2
794,14646,1
795,14652,1
796,14701,2
797,14716,1
798,14727,1
799,14760,2
800,14801,1
801,14825,1
802,14830,3
803,14845,1
804,14850,3
805,14870,1
806,14891,1
807,14895,2
808,14901,4
809,14903,2
810,15001,1
811,15003,3
