,Month,Zip,Counts
0,1,00934,1
1,1,01060,1
2,1,01082,1
3,1,01104,1
4,1,01201,1
5,1,01331,1
6,1,01590,1
7,1,01901,1
8,1,01910,1
9,1,02115,1
10,1,02128,1
11,1,02170,1
12,1,02481,1
13,1,02536,1
14,1,02576,1
15,1,02719,1
16,1,02720,2
17,1,02744,1
18,1,02916,1
19,1,03055,1
20,1,03077,1
21,1,03109,1
22,1,03246,1
23,1,03301,1
24,1,03561,1
25,1,03849,1
26,1,03851,1
27,1,04037,1
28,1,04073,1
29,1,04090,1
30,1,04261,1
31,1,04330,1
32,1,06088,1
33,1,06241,1
34,1,06260,1
35,1,06320,1
36,1,06334,1
37,1,06360,1
38,1,06405,1
39,1,06443,1
40,1,06457,1
41,1,06473,1
42,1,06492,1
43,1,06601,1
44,1,06610,1
45,1,06708,1
46,1,07004,1
47,1,07073,1
48,1,07074,1
49,1,07080,1
50,1,07114,1
51,1,07305,1
52,1,07502,1
53,1,07601,1
54,1,07632,1
55,1,07663,1
56,1,07726,1
57,1,07737,1
58,1,08016,1
59,1,08048,1
60,1,08051,1
61,1,08054,1
62,1,08060,1
63,1,08104,1
64,1,08110,1
65,1,08234,1
66,1,08854,2
67,1,08855,1
68,1,08873,1
69,1,10017,1
70,1,10024,1
71,1,10461,1
72,1,10606,1
73,1,10996,1
74,1,11030,1
75,1,11206,1
76,1,11209,1
77,1,11354,1
78,1,11542,1
79,1,11549,1
80,1,11590,1
81,1,11716,1
82,1,11731,1
83,1,11742,1
84,1,11767,1
85,1,11793,1
86,1,11801,1
87,1,12010,1
88,1,12043,1
89,1,12078,1
90,1,12306,1
91,1,12442,1
92,1,12496,1
93,1,12534,1
94,1,12701,1
95,1,13045,1
96,1,13057,1
97,1,13084,1
98,1,13153,1
99,1,13350,1
100,1,13502,1
101,1,14048,1
102,1,14080,1
103,1,14150,1
104,1,14207,1
105,1,14226,1
106,1,14227,1
107,1,14621,1
108,1,14642,1
109,1,15061,1
110,1,15068,1
111,1,15108,1
112,1,15137,1
113,1,15210,1
114,1,15225,1
115,1,15323,1
116,1,15622,1
117,1,15658,1
118,1,15701,1
119,1,15801,1
120,1,15857,1
121,1,15904,1
122,1,16102,1
123,1,16254,1
124,1,16323,1
125,1,16508,1
126,1,16684,1
127,1,16947,1
128,1,17011,1
129,1,17013,1
130,1,17015,1
131,1,17019,1
132,1,17033,1
133,1,17046,1
134,1,17057,1
135,1,17073,1
136,1,17109,1
137,1,17325,1
138,1,17339,1
139,1,17345,1
140,1,17404,1
141,1,17522,1
142,1,17545,1
143,1,17566,1
144,1,17601,3
145,1,17846,1
146,1,18031,1
147,1,18076,1
148,1,18106,1
149,1,18201,1
150,1,18202,1
151,1,18235,1
152,1,18403,1
153,1,18603,1
154,1,19007,1
155,1,19047,2
156,1,19102,1
157,1,19464,1
158,1,19506,1
159,1,19522,1
160,1,19526,1
161,1,19551,1
162,1,19706,1
163,1,20001,1
164,1,20011,1
165,1,20016,1
166,1,20849,1
167,1,20894,1
168,1,21224,1
169,1,23511,1
170,1,23606,1
171,1,23607,1
172,1,23704,1
173,1,23707,1
174,1,23834,1
175,1,26030,1
176,1,26456,1
177,1,26506,1
178,1,26508,1
179,1,26554,1
180,1,26757,1
181,1,30014,1
182,1,30046,1
183,1,30075,1
184,1,30101,1
185,1,30103,1
186,1,30117,1
187,1,30120,1
188,1,30144,1
189,1,30153,1
190,1,30165,1
191,1,30168,1
192,1,30180,1
193,1,30184,1
194,1,30224,1
195,1,30241,1
196,1,30297,2
197,1,30308,1
198,1,30318,1
199,1,30320,1
200,1,30322,1
201,1,30345,1
202,1,30354,1
203,1,30411,1
204,1,30453,1
205,1,30467,1
206,1,30533,1
207,1,30536,1
208,1,30554,1
209,1,30566,1
210,1,30620,1
211,1,30622,1
212,1,30673,1
213,1,30750,1
214,1,30824,1
215,1,31021,1
216,1,31068,1
217,1,31069,1
218,1,31085,1
219,1,31210,1
220,1,31217,1
221,1,31533,1
222,1,31605,1
223,1,31639,1
224,1,31801,1
225,1,31904,1
226,1,32043,1
227,1,32060,1
228,1,32073,1
229,1,32092,1
230,1,32117,1
231,1,32127,1
232,1,32128,1
233,1,32174,1
234,1,32205,1
235,1,32233,1
236,1,32246,1
237,1,32254,1
238,1,32405,3
239,1,32424,1
240,1,32503,1
241,1,32570,1
242,1,32601,1
243,1,32750,1
244,1,32803,2
245,1,32805,2
246,1,32820,1
247,1,32829,1
248,1,32830,5
249,1,32832,1
250,1,32937,1
251,1,33025,1
252,1,33056,1
253,1,33063,1
254,1,33073,1
255,1,33122,1
256,1,33126,1
257,1,33132,1
258,1,33133,1
259,1,33154,1
260,1,33167,1
261,1,33304,1
262,1,33311,1
